layer,pos,p_paris_clean,p_paris_before,p_paris_after,p_london_clean,p_london_before,p_london_after,delta_paris,delta_london,delta_logodds_paris,delta_logodds_london
0,4,0.03224378824234009,0.0012233679881319404,0.0012675226898863912,0.002118190750479698,0.03535575419664383,0.03588496521115303,4.41547017544508e-05,0.000529211014509201,0.03550086620623549,0.015406012476728126
1,4,0.03224378824234009,0.0012233679881319404,0.001279077841900289,0.002118190750479698,0.03535575419664383,0.03500999137759209,5.5709853768348694e-05,-0.00034576281905174255,0.044587460753563235,-0.010186039609904718
2,4,0.03224378824234009,0.0012233679881319404,0.0012652733130380511,0.002118190750479698,0.03535575419664383,0.03203169256448746,4.1905324906110764e-05,-0.003324061632156372,0.033722412943117064,-0.10217532192936885
3,4,0.03224378824234009,0.0012233679881319404,0.0013526612892746925,0.002118190750479698,0.03535575419664383,0.032145965844392776,0.00012929330114275217,-0.003209788352251053,0.10059573620431816,-0.09849610187958158
4,4,0.03224378824234009,0.0012233679881319404,0.001332760788500309,0.002118190750479698,0.03535575419664383,0.031894177198410034,0.00010939280036836863,-0.003461576998233795,0.08575440322478212,-0.1066197229791408
5,4,0.03224378824234009,0.0012233679881319404,0.0011604551691561937,0.002118190750479698,0.03535575419664383,0.02775888331234455,-6.291281897574663e-05,-0.007596870884299278,-0.05285837370721769,-0.2497497085710414
6,4,0.03224378824234009,0.0012233679881319404,0.0014388668350875378,0.002118190750479698,0.03535575419664383,0.024408549070358276,0.0002154988469555974,-0.010947205126285553,0.16246396863970158,-0.3818122415153984
7,4,0.03224378824234009,0.0012233679881319404,0.0015490748919546604,0.002118190750479698,0.03535575419664383,0.02545599639415741,0.00032570690382272005,-0.00989975780248642,0.23637636671368956,-0.3387201238086939
8,4,0.03224378824234009,0.0012233679881319404,0.0023561601992696524,0.002118190750479698,0.03535575419664383,0.02066771127283573,0.001132792211137712,-0.014688042923808098,0.6565603820006141,-0.5520001416215541
9,4,0.03224378824234009,0.0012233679881319404,0.021574821323156357,0.002118190750479698,0.03535575419664383,0.005753030069172382,0.020351453335024416,-0.029602724127471447,2.8905060975871764,-1.845960732694596
10,4,0.03224378824234009,0.0012233679881319404,0.03485662862658501,0.002118190750479698,0.03535575419664383,0.0029049115255475044,0.033633260638453066,-0.032450842671096325,3.3838901228364335,-2.5321449868599006
11,4,0.03224378824234009,0.0012233679881319404,0.03224378824234009,0.002118190750479698,0.03535575419664383,0.002118190750479698,0.031020420254208148,-0.03323756344616413,3.3032686647471867,-2.8487743177296942
